dhi,dni,ghi,gti,period_end,period
0,0,0,0,2007-01-16T18:00:00+00:00,PT60M
0,0,0,0,2007-01-16T19:00:00+00:00,PT60M
0,0,0,0,2007-01-16T20:00:00+00:00,PT60M
0,0,0,0,2007-01-16T21:00:00+00:00,PT60M
0,0,0,0,2007-01-16T22:00:00+00:00,PT60M
0,0,0,0,2007-01-16T23:00:00+00:00,PT60M
0,0,0,0,2007-01-17T00:00:00+00:00,PT60M
0,0,0,0,2007-01-17T01:00:00+00:00,PT60M
0,0,0,0,2007-01-17T02:00:00+00:00,PT60M
0,0,0,0,2007-01-17T03:00:00+00:00,PT60M
0,0,0,0,2007-01-17T04:00:00+00:00,PT60M
0,0,0,0,2007-01-17T05:00:00+00:00,PT60M
8,11,9,11,2007-01-17T06:00:00+00:00,PT60M
64,167,100,148,2007-01-17T07:00:00+00:00,PT60M
77,674,282,492,2007-01-17T08:00:00+00:00,PT60M
87,787,404,667,2007-01-17T09:00:00+00:00,PT60M
144,645,438,673,2007-01-17T10:00:00+00:00,PT60M
174,547,430,638,2007-01-17T11:00:00+00:00,PT60M
101,761,430,693,2007-01-17T12:00:00+00:00,PT60M
86,710,334,563,2007-01-17T13:00:00+00:00,PT60M
69,508,190,340,2007-01-17T14:00:00+00:00,PT60M
29,154,44,84,2007-01-17T15:00:00+00:00,PT60M
0,0,0,0,2007-01-17T16:00:00+00:00,PT60M
0,0,0,0,2007-01-17T17:00:00+00:00,PT60M
0,0,0,0,2007-01-17T18:00:00+00:00,PT60M
0,0,0,0,2007-01-17T19:00:00+00:00,PT60M
0,0,0,0,2007-01-17T20:00:00+00:00,PT60M
0,0,0,0,2007-01-17T21:00:00+00:00,PT60M
0,0,0,0,2007-01-17T22:00:00+00:00,PT60M
0,0,0,0,2007-01-17T23:00:00+00:00,PT60M
0,0,0,0,2007-01-18T00:00:00+00:00,PT60M
0,0,0,0,2007-01-18T01:00:00+00:00,PT60M
0,0,0,0,2007-01-18T02:00:00+00:00,PT60M
0,0,0,0,2007-01-18T03:00:00+00:00,PT60M
0,0,0,0,2007-01-18T04:00:00+00:00,PT60M
0,0,0,0,2007-01-18T05:00:00+00:00,PT60M
5,0,5,5,2007-01-18T06:00:00+00:00,PT60M
61,0,61,59,2007-01-18T07:00:00+00:00,PT60M
115,368,237,353,2007-01-18T08:00:00+00:00,PT60M
172,409,333,476,2007-01-18T09:00:00+00:00,PT60M
173,506,408,595,2007-01-18T10:00:00+00:00,PT60M
97,804,476,758,2007-01-18T11:00:00+00:00,PT60M
94,774,429,693,2007-01-18T12:00:00+00:00,PT60M
92,656,324,537,2007-01-18T13:00:00+00:00,PT60M
65,534,189,345,2007-01-18T14:00:00+00:00,PT60M
30,95,42,67,2007-01-18T15:00:00+00:00,PT60M
0,0,0,0,2007-01-18T16:00:00+00:00,PT60M
0,0,0,0,2007-01-18T17:00:00+00:00,PT60M
0,0,0,0,2007-01-18T18:00:00+00:00,PT60M
0,0,0,0,2007-01-18T19:00:00+00:00,PT60M
0,0,0,0,2007-01-18T20:00:00+00:00,PT60M
0,0,0,0,2007-01-18T21:00:00+00:00,PT60M
0,0,0,0,2007-01-18T22:00:00+00:00,PT60M
0,0,0,0,2007-01-18T23:00:00+00:00,PT60M
0,0,0,0,2007-01-19T00:00:00+00:00,PT60M
0,0,0,0,2007-01-19T01:00:00+00:00,PT60M
0,0,0,0,2007-01-19T02:00:00+00:00,PT60M
0,0,0,0,2007-01-19T03:00:00+00:00,PT60M
0,0,0,0,2007-01-19T04:00:00+00:00,PT60M
0,0,0,0,2007-01-19T05:00:00+00:00,PT60M
7,13,9,12,2007-01-19T06:00:00+00:00,PT60M
56,0,56,54,2007-01-19T07:00:00+00:00,PT60M
161,101,194,226,2007-01-19T08:00:00+00:00,PT60M
233,43,250,259,2007-01-19T09:00:00+00:00,PT60M
258,151,328,383,2007-01-19T10:00:00+00:00,PT60M
157,0,157,151,2007-01-19T11:00:00+00:00,PT60M
130,0,130,125,2007-01-19T12:00:00+00:00,PT60M
94,0,94,91,2007-01-19T13:00:00+00:00,PT60M
65,0,65,63,2007-01-19T14:00:00+00:00,PT60M
33,17,34,38,2007-01-19T15:00:00+00:00,PT60M
0,0,0,0,2007-01-19T16:00:00+00:00,PT60M
0,0,0,0,2007-01-19T17:00:00+00:00,PT60M
0,0,0,0,2007-01-19T18:00:00+00:00,PT60M
0,0,0,0,2007-01-19T19:00:00+00:00,PT60M
0,0,0,0,2007-01-19T20:00:00+00:00,PT60M
0,0,0,0,2007-01-19T21:00:00+00:00,PT60M
0,0,0,0,2007-01-19T22:00:00+00:00,PT60M
0,0,0,0,2007-01-19T23:00:00+00:00,PT60M
0,0,0,0,2007-01-20T00:00:00+00:00,PT60M
0,0,0,0,2007-01-20T01:00:00+00:00,PT60M
0,0,0,0,2007-01-20T02:00:00+00:00,PT60M
0,0,0,0,2007-01-20T03:00:00+00:00,PT60M
0,0,0,0,2007-01-20T04:00:00+00:00,PT60M
0,0,0,0,2007-01-20T05:00:00+00:00,PT60M
8,81,15,34,2007-01-20T06:00:00+00:00,PT60M
82,158,105,146,2007-01-20T07:00:00+00:00,PT60M
